FECHA;DEMANDA_CAJA;DEMANDA_ATM
2015-03-01;0;10403450
2015-03-02;-3353165;2760790
2015-03-03;-840656;3263600
2015-03-04;-2142786;2444300
2015-03-05;-1223236;2782860
2015-03-06;-1874320;6024450
2015-03-07;0;6024450
2015-03-08;0;6024450
2015-03-09;-5407557;2138510
2015-03-10;-3477578;1912720
2015-03-11;-3597880;1829810
2015-03-12;-2412493;1771270
2015-03-13;-1951646;3884180
2015-03-14;0;3884180
2015-03-15;0;3884180
2015-03-16;-4225806;1451270
2015-03-17;-3110233;1656440
2015-03-18;-2355825;1770010
2015-03-19;-512453;1963290
2015-03-20;529049;6430800
2015-03-21;0;6430800
2015-03-22;0;6430800
2015-03-23;0;6430800
2015-03-24;0;6430800
2015-03-25;-3860137;1418650
2015-03-26;-847537;1226270
2015-03-27;-1940269;2901810
2015-03-28;0;2901810
2015-03-29;0;2901810
2015-03-30;-1942280;9860000
2015-03-31;0;9860000
2015-04-01;-836883;10629720
2015-04-02;0;10629720
2015-04-03;0;10629720
2015-04-04;0;10629720
2015-04-05;0;10629720
2015-04-06;-4249462;2890800
2015-04-07;-2923018;2883270
2015-04-08;-3721107;2463670
2015-04-09;-2181530;2920360
2015-04-10;-3090650;5460130
2015-04-11;0;5460130
2015-04-12;0;5460130
2015-04-13;-6854075;1641380
2015-04-14;-2152294;1915100
2015-04-15;-2132497;2023210
2015-04-16;-1715757;1627550
2015-04-17;-710668;3487650
2015-04-18;0;3487650
2015-04-19;0;3487650
2015-04-20;-4142464;1490190
2015-04-21;-1567162;1850230
2015-04-22;-1827220;1786150
2015-04-23;-1186840;1387140
2015-04-24;148242;2803550
2015-04-25;0;2803550
2015-04-26;0;2803550
2015-04-27;-2431891;1145760
2015-04-28;-2346348;2085430
2015-04-29;143747;3322030
2015-04-30;1869199;14100000
2015-05-01;0;11748870
2015-05-02;0;11748870
2015-05-03;0;11748870
2015-05-04;-3932914;3134530
2015-05-05;-1916419;2974270
2015-05-06;-1951752;3538300
2015-05-07;-2117599;2443470
2015-05-08;-1885317;5597260
2015-05-09;0;5597260
2015-05-10;0;5597260
2015-05-11;-6176530;1923870
2015-05-12;-2576056;1710530
2015-05-13;-3034355;1815800
2015-05-14;-2365772;1925200
2015-05-15;-1466526;3769240
2015-05-16;0;3769240
2015-05-17;0;3769240
2015-05-18;-3753123;1502620
2015-05-19;-2843470;1582530
2015-05-20;-1551523;2081900
2015-05-21;-900240;2257060
2015-05-22;3294;4186750
2015-05-23;0;4186750
2015-05-24;0;4186750
2015-05-25;0;4186750
2015-05-26;-4013430;932650
2015-05-27;-1887445;981250
2015-05-28;-895696;1934240
2015-05-29;949389;10750030
2015-05-30;0;12910000
2015-05-31;0;12910000
2015-06-01;-2709105;3007800
2015-06-02;-549792;3093100
2015-06-03;-2285156;2989110
2015-06-04;-1040155;3066410
2015-06-05;44827;7307420
