"dia_semana","dia_mes","mes_anio","inflacion"
1.        ,  1.        ,  3.        ,  2.2
2.        ,  2.        ,  3.        ,  2.21052632
3.        ,  3.        ,  3.        ,  2.22105263
4.        ,  4.        ,  3.        ,  2.23157895
5.        ,  5.        ,  3.        ,  2.24210526
1.        ,  8.        ,  3.        ,  2.25263158
2.        ,  9.        ,  3.        ,  2.26315789
3.        , 10.        ,  3.        ,  2.27368421
4.        , 11.        ,  3.        ,  2.28421053
5.        , 12.        ,  3.        ,  2.29473684
1.        , 15.        ,  3.        ,  2.30526316
2.        , 16.        ,  3.        ,  2.31578947
3.        , 17.        ,  3.        ,  2.32631579
4.        , 18.        ,  3.        ,  2.33684211
5.        , 19.        ,  3.        ,  2.34736842
1.        , 22.        ,  3.        ,  2.35789474
2.        , 23.        ,  3.        ,  2.36842105
3.        , 24.        ,  3.        ,  2.37894737
4.        , 25.        ,  3.        ,  2.38947368
5.        , 26.        ,  3.        ,  2.4
