,date,day,month,year,value
0,01/07/2014,1,7,2014,8.1312
1,02/07/2014,2,7,2014,8.138
2,03/07/2014,3,7,2014,8.1395
3,04/07/2014,4,7,2014,8.1387
4,05/07/2014,5,7,2014,8.1387
5,06/07/2014,6,7,2014,8.1387
6,07/07/2014,7,7,2014,8.1385
7,08/07/2014,8,7,2014,8.1405
8,09/07/2014,9,7,2014,8.1405
9,10/07/2014,10,7,2014,8.1405
10,11/07/2014,11,7,2014,8.152
11,12/07/2014,12,7,2014,8.152
12,13/07/2014,13,7,2014,8.152
13,14/07/2014,14,7,2014,8.148
14,15/07/2014,15,7,2014,8.148
15,16/07/2014,16,7,2014,8.1478
16,17/07/2014,17,7,2014,8.1475
17,18/07/2014,18,7,2014,8.1473
18,19/07/2014,19,7,2014,8.1473
19,20/07/2014,20,7,2014,8.1473
20,21/07/2014,21,7,2014,8.1632
21,22/07/2014,22,7,2014,8.1695
22,23/07/2014,23,7,2014,8.1685
23,24/07/2014,24,7,2014,8.168
24,25/07/2014,25,7,2014,8.168
25,26/07/2014,26,7,2014,8.168
26,27/07/2014,27,7,2014,8.168
27,28/07/2014,28,7,2014,8.1769
28,29/07/2014,29,7,2014,8.1855
29,30/07/2014,30,7,2014,8.1855
30,31/07/2014,31,7,2014,8.2138
31,01/08/2014,1,8,2014,8.2358
32,02/08/2014,2,8,2014,8.2358
33,03/08/2014,3,8,2014,8.2358
34,04/08/2014,4,8,2014,8.2613
35,05/08/2014,5,8,2014,8.2625
36,06/08/2014,6,8,2014,8.2662
37,07/08/2014,7,8,2014,8.264
38,08/08/2014,8,8,2014,8.2664
39,09/08/2014,9,8,2014,8.2664
40,10/08/2014,10,8,2014,8.2664
41,11/08/2014,11,8,2014,8.2638
42,12/08/2014,12,8,2014,8.2638
43,13/08/2014,13,8,2014,8.2705
44,14/08/2014,14,8,2014,8.2755
45,15/08/2014,15,8,2014,8.2753
46,16/08/2014,16,8,2014,8.2753
47,17/08/2014,17,8,2014,8.2753
48,18/08/2014,18,8,2014,8.2752
49,19/08/2014,19,8,2014,8.283
50,20/08/2014,20,8,2014,8.3225
51,21/08/2014,21,8,2014,8.3938
52,22/08/2014,22,8,2014,8.3925
53,23/08/2014,23,8,2014,8.3925
54,24/08/2014,24,8,2014,8.3925
55,25/08/2014,25,8,2014,8.392
56,26/08/2014,26,8,2014,8.3917
57,27/08/2014,27,8,2014,8.4055
58,28/08/2014,28,8,2014,8.4015
59,29/08/2014,29,8,2014,8.4013
60,30/08/2014,30,8,2014,8.4013
61,31/08/2014,31,8,2014,8.4013
62,01/09/2014,1,9,2014,8.403
63,02/09/2014,2,9,2014,8.4005
64,03/09/2014,3,9,2014,8.4155
65,04/09/2014,4,9,2014,8.4015
66,05/09/2014,5,9,2014,8.4155
67,06/09/2014,6,9,2014,8.4155
68,07/09/2014,7,9,2014,8.4155
69,08/09/2014,8,9,2014,8.405
70,09/09/2014,9,9,2014,8.4027
71,10/09/2014,10,9,2014,8.4005
72,11/09/2014,11,9,2014,8.4005
