,dom,month,year,balance
0,3,10,2016,595265.59
1,4,10,2016,560933.44
2,5,10,2016,517459.6
3,6,10,2016,598011.99
4,7,10,2016,522026.74
5,8,10,2016,558739.4720000001
6,9,10,2016,558739.4720000001
7,10,10,2016,558739.4720000001
8,11,10,2016,592310.05
9,12,10,2016,455213.59
10,13,10,2016,520511.84
11,14,10,2016,451620.89
12,15,10,2016,534817.0811111111
13,16,10,2016,534817.0811111111
14,17,10,2016,534154.0
15,18,10,2016,428593.75
16,19,10,2016,585614.0
17,20,10,2016,570464.74
18,21,10,2016,518624.74
19,22,10,2016,532200.3542857143
20,23,10,2016,532200.3542857143
21,24,10,2016,482406.49
22,25,10,2016,420762.14
23,26,10,2016,453782.89
24,27,10,2016,454135.41
25,28,10,2016,324249.41
26,29,10,2016,504533.752631579
27,30,10,2016,504533.752631579
28,31,10,2016,528189.38
29,1,11,2016,523514.63
30,2,11,2016,519020.63
31,3,11,2016,486290.98
32,4,11,2016,412448.38
33,5,11,2016,502316.8875000002
34,6,11,2016,502316.8875000002
35,7,11,2016,535892.73
36,8,11,2016,459811.48
37,9,11,2016,429034.63
38,10,11,2016,456528.53
39,11,11,2016,281245.93
40,12,11,2016,490279.9517241381
41,13,11,2016,490279.9517241381
42,14,11,2016,468623.93
43,15,11,2016,447453.93
44,16,11,2016,551564.58
45,17,11,2016,453716.88
46,18,11,2016,508985.88
47,19,11,2016,489660.7000000002
48,20,11,2016,489660.7000000002
49,21,11,2016,505068.93
50,22,11,2016,444023.84
51,23,11,2016,545405.34
52,24,11,2016,481894.09
53,25,11,2016,462532.49
54,26,11,2016,489420.21769230784
55,27,11,2016,489420.21769230784
56,28,11,2016,489420.21769230784
57,29,11,2016,542487.24
58,30,11,2016,514707.89
59,1,12,2016,579117.49
60,2,12,2016,569112.49
61,3,12,2016,495181.711627907
62,4,12,2016,495181.711627907
63,5,12,2016,522218.14
64,6,12,2016,574539.14
65,7,12,2016,545442.39
66,8,12,2016,498587.24500000005
67,9,12,2016,498587.24500000005
68,10,12,2016,498587.24500000005
69,11,12,2016,498587.24500000005
70,12,12,2016,627778.43
71,13,12,2016,637053.33
72,14,12,2016,529685.58
73,15,12,2016,489741.48
74,16,12,2016,567350.3
75,17,12,2016,505620.04686274513
76,18,12,2016,505620.04686274513
77,19,12,2016,521620.05
78,20,12,2016,543823.05
79,21,12,2016,547594.09
80,22,12,2016,659724.69
81,23,12,2016,546952.69
82,24,12,2016,510827.4457142858
83,25,12,2016,510827.4457142858
84,26,12,2016,559078.19
85,27,12,2016,461109.69
86,28,12,2016,546974.94
87,29,12,2016,502271.79
88,30,12,2016,442863.69
89,31,12,2016,510141.56163934444
90,1,1,2017,510141.56163934444
91,2,1,2017,383945.19
92,3,1,2017,482084.69
93,4,1,2017,527394.99
94,5,1,2017,466560.69
95,6,1,2017,470841.69
96,7,1,2017,506810.0380303032
97,8,1,2017,506810.0380303032
98,9,1,2017,542549.09
99,10,1,2017,478223.09
100,11,1,2017,518197.69
101,12,1,2017,472491.69
102,13,1,2017,317615.69
103,14,1,2017,503923.09521126776
104,15,1,2017,503923.09521126776
105,16,1,2017,449118.6
106,17,1,2017,438612.6
107,18,1,2017,409994.6
108,19,1,2017,466058.6
109,20,1,2017,412869.6
110,21,1,2017,499410.4442105266
111,22,1,2017,499410.4442105266
112,23,1,2017,458828.85
113,24,1,2017,396985.25
114,25,1,2017,459615.75
115,26,1,2017,451004.75
116,27,1,2017,371463.5
117,28,1,2017,494976.44271604967
118,29,1,2017,494976.44271604967
119,30,1,2017,442160.62
120,31,1,2017,534646.82
121,1,2,2017,543079.86
122,2,2,2017,528861.11
123,3,2,2017,399629.81
124,4,2,2017,494668.2567441863
125,5,2,2017,494668.2567441863
126,6,2,2017,479144.26
127,7,2,2017,469278.81
128,8,2,2017,506566.28
129,9,2,2017,521266.64
130,10,2,2017,513562.64
131,11,2,2017,494849.3264835167
132,12,2,2017,494849.3264835167
133,13,2,2017,569409.54
134,14,2,2017,456428.59
135,15,2,2017,502156.44
136,16,2,2017,542024.09
137,17,2,2017,476250.04
138,18,2,2017,495599.55635416694
139,19,2,2017,495599.55635416694
140,20,2,2017,620206.39
141,21,2,2017,583330.89
142,22,2,2017,562113.14
143,23,2,2017,680323.64
144,24,2,2017,354424.14
145,25,2,2017,498791.63970297057
146,26,2,2017,498791.63970297057
147,27,2,2017,498791.63970297057
148,28,2,2017,498791.63970297057
149,1,3,2017,452750.64
150,2,3,2017,500282.64
151,3,3,2017,553628.14
152,4,3,2017,498890.5483653849
153,5,3,2017,498890.5483653849
154,6,3,2017,650588.64
155,7,3,2017,613659.34
156,8,3,2017,539384.79
157,9,3,2017,493797.89
158,10,3,2017,401593.64
159,11,3,2017,500767.35165137646
160,12,3,2017,500767.35165137646
161,13,3,2017,393281.09
162,14,3,2017,467308.64
163,15,3,2017,557364.24
164,16,3,2017,528030.14
165,17,3,2017,514225.49
166,18,3,2017,500384.65728070214
167,19,3,2017,500384.65728070214
168,20,3,2017,571475.99
169,21,3,2017,590671.24
170,22,3,2017,515554.39
171,23,3,2017,557146.89
172,24,3,2017,502361.85966101737
173,25,3,2017,502361.85966101737
174,26,3,2017,502361.85966101737
175,27,3,2017,578764.39
176,28,3,2017,547054.76
177,29,3,2017,634459.76
178,30,3,2017,442543.76
179,31,3,2017,536068.91
180,1,4,2017,504208.0570731711
181,2,4,2017,504208.0570731711
182,3,4,2017,524286.76
183,4,4,2017,554647.46
184,5,4,2017,568196.01
185,6,4,2017,560180.01
186,7,4,2017,580059.51
187,8,4,2017,506288.75601562526
188,9,4,2017,506288.75601562526
189,10,4,2017,660084.51
190,11,4,2017,516449.1
191,12,4,2017,653089.75
192,13,4,2017,508660.94755725213
193,14,4,2017,508660.94755725213
194,15,4,2017,508660.94755725213
195,16,4,2017,508660.94755725213
196,17,4,2017,681823.05
197,18,4,2017,589943.5
198,19,4,2017,630930.5
199,20,4,2017,616691.6
200,21,4,2017,498182.65
201,22,4,2017,512148.20169117674
202,23,4,2017,512148.20169117674
203,24,4,2017,641015.4
204,25,4,2017,774594.0
205,26,4,2017,681251.0
206,27,4,2017,689097.0
207,28,4,2017,560151.5
208,29,4,2017,517718.18673758896
209,30,4,2017,517718.18673758896
210,1,5,2017,517718.18673758896
211,2,5,2017,535580.9
212,3,5,2017,545451.9
213,4,5,2017,675813.15
214,5,5,2017,589858.6
215,6,5,2017,519620.4750344831
216,7,5,2017,519620.4750344831
217,8,5,2017,534395.1
218,9,5,2017,651495.1
219,10,5,2017,545393.65
220,11,5,2017,672901.4
