,DATE,CASHD,ATMD,HOLIDAY
0,2015-03-01,0,0,1
1,2015-03-02,-8515598,3289210,0
2,2015-03-03,286458,2511010,0
3,2015-03-04,-1867297,2865960,0
4,2015-03-05,841196,2678570,0
5,2015-03-06,-2098586,4851290,0
6,2015-03-07,0,0,1
7,2015-03-08,0,0,1
8,2015-03-09,-6790235,2338590,0
9,2015-03-10,-4440856,2037280,0
10,2015-03-11,-359945,1676770,0
11,2015-03-12,-2980717,1704740,0
12,2015-03-13,-1784661,2849200,0
13,2015-03-14,0,0,1
14,2015-03-15,0,0,1
15,2015-03-16,-7923216,1383840,0
16,2015-03-17,-839286,1340730,0
17,2015-03-18,-471691,0,0
18,2015-03-19,0,0,1
19,2015-03-20,-5317726,4805120,0
20,2015-03-21,0,0,1
21,2015-03-22,0,0,1
22,2015-03-23,0,0,1
23,2015-03-24,0,0,1
24,2015-03-25,-14358043,1194980,0
25,2015-03-26,-3279170,1087750,0
26,2015-03-27,-1706984,2225080,0
27,2015-03-28,0,0,1
28,2015-03-29,0,0,1
29,2015-03-30,-5747211,11370000,0
30,2015-03-31,0,0,1
31,2015-04-01,8817204,9474520,0
32,2015-04-02,0,0,1
33,2015-04-03,0,0,1
34,2015-04-04,0,0,1
35,2015-04-05,0,0,1
36,2015-04-06,-13770584,3006640,0
37,2015-04-07,-2412562,3528290,0
38,2015-04-08,-509603,3197100,0
39,2015-04-09,-1146250,3123070,0
40,2015-04-10,-2139453,4905880,0
41,2015-04-11,0,0,1
42,2015-04-12,0,0,1
43,2015-04-13,-21027150,1469570,0
44,2015-04-14,-4138958,1965550,0
45,2015-04-15,-260524,1846660,0
46,2015-04-16,-518061,1670150,0
47,2015-04-17,-6637656,2336610,0
48,2015-04-18,0,0,1
49,2015-04-19,0,0,1
50,2015-04-20,-7801466,1716630,0
51,2015-04-21,-1848257,1544720,0
52,2015-04-22,1692511,1198380,0
53,2015-04-23,-1838517,1334510,0
54,2015-04-24,-1594157,2025640,0
55,2015-04-25,0,0,1
56,2015-04-26,0,0,1
57,2015-04-27,-4688521,1063690,0
58,2015-04-28,-1342227,2118610,0
59,2015-04-29,6287967,4838000,0
60,2015-04-30,2118426,12930000,0
61,2015-05-01,0,0,1
62,2015-05-02,0,0,1
63,2015-05-03,0,0,1
64,2015-05-04,-2858852,3125490,0
65,2015-05-05,-1172204,3183950,0
66,2015-05-06,536016,2982230,0
67,2015-05-07,483210,3102680,0
68,2015-05-08,-2557269,5055020,0
69,2015-05-09,0,0,1
70,2015-05-10,0,0,1
71,2015-05-11,-10032666,2185540,0
72,2015-05-12,-4819043,2049130,0
73,2015-05-13,-1327493,1908100,0
74,2015-05-14,-1306062,1731250,0
75,2015-05-15,-2273502,3072780,0
76,2015-05-16,0,0,1
77,2015-05-17,0,0,1
78,2015-05-18,-9409797,1477330,0
79,2015-05-19,-2164426,1715260,0
80,2015-05-20,-783004,1985730,0
81,2015-05-21,1507758,1829860,0
82,2015-05-22,-2213248,3394980,0
83,2015-05-23,0,0,1
84,2015-05-24,0,0,1
85,2015-05-25,0,0,1
86,2015-05-26,-10455210,0,0
87,2015-05-27,0,0,1
88,2015-05-28,-697104,2349750,0
89,2015-05-29,-1559022,11858540,0
90,2015-05-30,0,0,1
