,DATE,CASHD,ATMD,HOLIDAY
0,2015-03-01,0,7776500,1
1,2015-03-02,-5387584,2520100,0
2,2015-03-03,-4009505,1936150,0
3,2015-03-04,-4141070,2139750,0
4,2015-03-05,-2682789,2748550,0
5,2015-03-06,-3714711,6275350,0
6,2015-03-07,0,6275350,1
7,2015-03-08,0,6275350,1
8,2015-03-09,-7436476,1863850,0
9,2015-03-10,-5779283,1127800,0
10,2015-03-11,-5272192,2099750,0
11,2015-03-12,-4583103,1667750,0
12,2015-03-13,-4533326,3241350,0
13,2015-03-14,0,3241350,1
14,2015-03-15,0,3241350,1
15,2015-03-16,-6600635,1355150,0
16,2015-03-17,-5837218,817200,0
17,2015-03-18,-3302886,1561650,0
18,2015-03-19,-4129184,1652450,0
19,2015-03-20,-3732357,4189250,0
20,2015-03-21,0,4189250,1
21,2015-03-22,0,4189250,1
22,2015-03-23,0,4189250,1
23,2015-03-24,0,4189250,1
24,2015-03-25,-9158915,826750,0
25,2015-03-26,-3805931,1450850,0
26,2015-03-27,-3249004,1932300,0
27,2015-03-28,0,1932300,1
28,2015-03-29,0,1932300,1
29,2015-03-30,-4293023,7760000,0
30,2015-03-31,0,7760000,1
31,2015-04-01,-5343189,9555500,0
32,2015-04-02,0,9555500,1
33,2015-04-03,0,9555500,1
34,2015-04-04,0,9555500,1
35,2015-04-05,0,9555500,1
36,2015-04-06,-8178397,1732600,0
37,2015-04-07,-5969605,2803000,0
38,2015-04-08,-3004096,2805000,0
39,2015-04-09,-4937658,3507550,0
40,2015-04-10,-5333897,4027250,0
41,2015-04-11,0,4027250,1
42,2015-04-12,0,4027250,1
43,2015-04-13,-6989553,884200,0
44,2015-04-14,-4819612,2250650,0
45,2015-04-15,-3872642,1682450,0
46,2015-04-16,-5233068,1727700,0
47,2015-04-17,-3656993,2682150,0
48,2015-04-18,0,2682150,1
49,2015-04-19,0,2682150,1
50,2015-04-20,-5628665,941850,0
51,2015-04-21,-2455963,2171300,0
52,2015-04-22,-4728223,1213350,0
53,2015-04-23,-2587734,975650,0
54,2015-04-24,-2877869,1832600,0
55,2015-04-25,0,1832600,1
56,2015-04-26,0,1832600,1
57,2015-04-27,-5773578,405750,0
58,2015-04-28,-3100667,1671350,0
59,2015-04-29,-3204696,3439400,0
60,2015-04-30,-670466,9900000,0
61,2015-05-01,0,8244250,1
62,2015-05-02,0,8244250,1
63,2015-05-03,0,8244250,1
64,2015-05-04,-5986380,1524800,0
65,2015-05-05,-4631814,3732750,0
66,2015-05-06,-5285315,2787750,0
67,2015-05-07,-2863457,3530500,0
68,2015-05-08,-3617819,4340500,0
69,2015-05-09,0,4340500,1
70,2015-05-10,0,4340500,1
71,2015-05-11,-9264251,1637350,0
72,2015-05-12,-4632912,1678100,0
73,2015-05-13,-5612999,1684650,0
74,2015-05-14,-5222995,1497500,0
75,2015-05-15,-3169722,3025900,0
76,2015-05-16,0,3025900,1
77,2015-05-17,0,3025900,1
78,2015-05-18,-7558507,1050250,0
79,2015-05-19,-3289487,2179550,0
80,2015-05-20,-3083287,1904850,0
81,2015-05-21,-2837254,1615550,0
82,2015-05-22,-3762191,2475950,0
83,2015-05-23,0,2475950,1
84,2015-05-24,0,2475950,1
85,2015-05-25,0,2475950,1
86,2015-05-26,-4775961,403550,0
87,2015-05-27,-3284414,610500,0
88,2015-05-28,-4676232,2336300,0
89,2015-05-29,-3194898,7973100,0
90,2015-05-30,0,9570000,1
91,2015-05-31,0,9570000,1
92,2015-06-01,-2769196,3436600,0
93,2015-06-02,-2081292,2362750,0
94,2015-06-03,-4176432,2754100,0
95,2015-06-04,-2031495,3759400,0
96,2015-06-05,-3764238,6154050,0
97,2015-06-06,0,6154050,1
98,2015-06-07,0,6154050,1
99,2015-06-08,-5447983,2242500,0
100,2015-06-09,-4337482,1261300,0
101,2015-06-10,-5567397,2575200,0
102,2015-06-11,-4143653,2029750,0
103,2015-06-12,-2849207,3017850,0
104,2015-06-13,0,3017850,1
105,2015-06-14,0,3017850,1
106,2015-06-15,-6802063,1757750,0
107,2015-06-16,-3702932,3909750,0
108,2015-06-17,-5077304,3193300,0
109,2015-06-18,-3459208,2986150,0
110,2015-06-19,-3241733,5534300,0
111,2015-06-20,0,5534300,1
112,2015-06-21,0,5534300,1
113,2015-06-22,-5403348,2088900,0
114,2015-06-23,-4229152,1144950,0
115,2015-06-24,-3742062,2065500,0
116,2015-06-25,-2294479,1621700,0
117,2015-06-26,-3327533,2666800,0
118,2015-06-27,0,2666800,1
119,2015-06-28,0,2666800,1
120,2015-06-29,-6576199,3054600,0
121,2015-06-30,-2212860,3680000,0
122,2015-07-01,-1381043,5681150,0
123,2015-07-02,-2916536,2900150,0
124,2015-07-03,-2376885,6260750,0
125,2015-07-04,0,6260750,1
126,2015-07-05,0,6260750,1
127,2015-07-06,-5127691,2108850,0
128,2015-07-07,-3808956,1924500,0
129,2015-07-08,-3945692,5778250,0
130,2015-07-09,0,5778250,1
131,2015-07-10,-7116149,6198600,0
132,2015-07-11,0,6198600,1
133,2015-07-12,0,6198600,1
134,2015-07-13,-7971552,1516600,0
135,2015-07-14,-4730177,1385600,0
136,2015-07-15,-5085997,0,0
137,2015-07-16,-4231219,1865600,0
138,2015-07-17,-3255012,3582150,0
139,2015-07-18,0,3582150,1
140,2015-07-19,0,3582150,1
141,2015-07-20,-7275204,1347700,0
142,2015-07-21,-3896675,1382550,0
143,2015-07-22,-3412688,1729350,0
144,2015-07-23,-4225502,1240600,0
145,2015-07-24,-2836428,2459100,0
146,2015-07-25,0,2459100,1
147,2015-07-26,0,2459100,1
148,2015-07-27,-6363341,1151000,0
149,2015-07-28,-2891609,617900,0
150,2015-07-29,-3990582,1384300,0
151,2015-07-30,-1858672,3434850,0
152,2015-07-31,-1543991,8295950,0
153,2015-08-01,0,8295950,1
154,2015-08-02,0,8295950,1
155,2015-08-03,-2294645,2659550,0
156,2015-08-04,-1547197,1602750,0
157,2015-08-05,-1552891,3553400,0
