,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy,minfl
0,3,1,7,2014,665243739.0,666752349.0,0,0,0.0
1,4,2,7,2014,690914315.0,691527550.0,0,0,0.0
2,5,3,7,2014,868282996.0,867362881.0,0,0,0.0
3,6,4,7,2014,1199049390.0,1199226850.0,0,0,0.0
4,7,5,7,2014,0.0,0.0,0,0,0.0
5,1,6,7,2014,0.0,0.0,0,0,0.0
6,2,7,7,2014,1262551425.0,1263487345.0,0,0,0.0
7,3,8,7,2014,400584892.0,401033872.0,0,1,0.0
8,4,9,7,2014,0.0,0.0,0,0,0.0
9,5,10,7,2014,864659886.0,862739141.0,1,0,0.0
10,6,11,7,2014,1077247964.0,1077082564.0,0,0,0.0
11,7,12,7,2014,0.0,0.0,0,0,0.0
12,1,13,7,2014,0.0,0.0,0,0,0.0
13,2,14,7,2014,949588181.0,949955481.0,0,0,0.0
14,3,15,7,2014,915550781.0,915747131.0,0,0,0.0
15,4,16,7,2014,1019012504.0,1019793314.0,0,0,0.0
16,5,17,7,2014,888110034.0,892127142.0,0,0,0.0
17,6,18,7,2014,952974337.0,955361029.0,0,0,0.0
18,7,19,7,2014,0.0,0.0,0,0,0.0
19,1,20,7,2014,0.0,0.0,0,0,0.0
20,2,21,7,2014,1378430253.0,1379016348.0,0,0,0.0
21,3,22,7,2014,765710531.0,767108059.0,0,0,0.0
22,4,23,7,2014,599633948.0,600141473.0,0,0,0.0
23,5,24,7,2014,677085641.0,676558921.0,0,0,0.0
24,6,25,7,2014,647719013.0,647468453.0,0,0,0.0
25,7,26,7,2014,0.0,0.0,0,0,0.0
26,1,27,7,2014,0.0,0.0,0,0,0.0
27,2,28,7,2014,1007736461.0,1007642946.0,0,0,0.0
28,3,29,7,2014,770629700.0,771440295.0,0,0,0.0
29,4,30,7,2014,739595960.0,738117436.0,0,0,0.0
30,5,31,7,2014,689210028.0,690058942.0,0,0,0.0
31,6,1,8,2014,891874413.0,891771903.0,0,0,2.483
32,7,2,8,2014,0.0,0.0,0,0,2.483
33,1,3,8,2014,0.0,0.0,0,0,2.483
34,2,4,8,2014,1057350521.0,1057308021.0,0,0,2.483
35,3,5,8,2014,900550967.0,900855712.0,0,0,2.483
36,4,6,8,2014,1236668221.0,1237104601.0,0,0,2.483
