,dow,dom,month,year,in_demand,out_demand,prev_holi,pos_holi
0,3,1,7,2014,2937751138.0,3063036192.0,0,0
1,4,2,7,2014,3099432072.0,3768111338.0,0,0
2,5,3,7,2014,3752703712.0,3652234497.0,0,0
3,6,4,7,2014,3611856947.0,4101594072.0,0,0
4,7,5,7,2014,0.0,0.0,0,0
5,1,6,7,2014,0.0,0.0,0,0
6,2,7,7,2014,4836911760.0,4670620493.0,0,0
7,3,8,7,2014,3314163140.0,3063540499.0,0,1
8,4,9,7,2014,0.0,0.0,0,0
9,5,10,7,2014,4514261979.0,3965770358.0,1,0
10,6,11,7,2014,5090416692.0,5317826678.0,0,0
11,7,12,7,2014,0.0,0.0,0,0
12,1,13,7,2014,0.0,0.0,0,0
13,2,14,7,2014,5069177203.0,4288512520.0,0,0
14,3,15,7,2014,3716899519.0,4406810921.0,0,0
15,4,16,7,2014,3290364324.0,3764103598.0,0,0
16,5,17,7,2014,3394874617.0,3455963583.0,0,0
17,6,18,7,2014,3199557268.0,3275747718.0,0,0
18,7,19,7,2014,0.0,0.0,0,0
19,1,20,7,2014,0.0,0.0,0,0
20,2,21,7,2014,4214620536.0,3572264480.0,0,0
21,3,22,7,2014,2475630427.0,2455053630.0,0,0
22,4,23,7,2014,3192494920.0,3361787047.0,0,0
23,5,24,7,2014,2298117634.0,2482585447.0,0,0
24,6,25,7,2014,2780312772.0,3022404362.0,0,0
25,7,26,7,2014,0.0,0.0,0,0
26,1,27,7,2014,0.0,0.0,0,0
27,2,28,7,2014,3444683783.0,2946441091.0,0,0
28,3,29,7,2014,2445664578.0,2485326259.0,0,0
29,4,30,7,2014,3035609145.0,2694676639.0,0,0
30,5,31,7,2014,2365648845.0,2733091399.0,0,0
31,6,1,8,2014,4423604046.0,4536167816.0,0,0
32,7,2,8,2014,0.0,0.0,0,0
33,1,3,8,2014,0.0,0.0,0,0
34,2,4,8,2014,5085296871.0,4991368224.0,0,0
35,3,5,8,2014,3154106891.0,3165124946.0,0,0
36,4,6,8,2014,3893700212.0,3952819767.0,0,0
37,5,7,8,2014,2824914657.0,2767717109.0,0,0
38,6,8,8,2014,4504566510.0,4992976633.0,0,0
39,7,9,8,2014,0.0,0.0,0,0
40,1,10,8,2014,0.0,0.0,0,0
41,2,11,8,2014,4980717916.0,4481376170.0,0,0
42,3,12,8,2014,4351027768.0,4433911616.0,0,0
43,4,13,8,2014,3342517075.0,3331236169.0,0,0
44,5,14,8,2014,3668190308.0,3674966920.0,0,0
45,6,15,8,2014,4313645758.0,4528908232.0,0,1
46,7,16,8,2014,0.0,0.0,0,0
47,1,17,8,2014,0.0,0.0,0,0
48,2,18,8,2014,0.0,0.0,0,0
49,3,19,8,2014,3777142459.0,3317205500.0,1,0
50,4,20,8,2014,2916340781.0,2925175143.0,0,0
51,5,21,8,2014,2861218851.0,2892025296.0,0,0
52,6,22,8,2014,3281250401.0,3802050552.0,0,0
53,7,23,8,2014,0.0,0.0,0,0
54,1,24,8,2014,0.0,0.0,0,0
55,2,25,8,2014,4208869832.0,3721642640.0,0,0
56,3,26,8,2014,2620752007.0,2450602086.0,0,0
57,4,27,8,2014,3335301247.0,3371373553.0,0,1
58,5,28,8,2014,0.0,0.0,0,0
59,6,29,8,2014,4146173974.0,4068130606.0,1,0
60,7,30,8,2014,0.0,0.0,0,0
61,1,31,8,2014,0.0,0.0,0,0
62,2,1,9,2014,4372117958.0,4282978988.0,0,0
63,3,2,9,2014,3055027290.0,3465741307.0,0,0
64,4,3,9,2014,3414378187.0,3602425002.0,0,0
65,5,4,9,2014,3566234054.0,3424645575.0,0,0
66,6,5,9,2014,4222574189.0,4311003352.0,0,0
67,7,6,9,2014,0.0,0.0,0,0
68,1,7,9,2014,0.0,0.0,0,0
69,2,8,9,2014,4714060051.0,4368280407.0,0,0
70,3,9,9,2014,4253087441.0,4424777880.0,0,0
71,4,10,9,2014,3564818727.0,3612248423.0,0,0
72,5,11,9,2014,5491568164.0,5237020516.0,0,0
73,6,12,9,2014,4796993374.0,5379119927.0,0,1
74,7,13,9,2014,0.0,0.0,0,0
75,1,14,9,2014,0.0,0.0,0,0
76,2,15,9,2014,0.0,0.0,0,0
77,3,16,9,2014,4773611164.0,4244187480.0,1,0
78,4,17,9,2014,3366670956.0,3304984729.0,0,0
79,5,18,9,2014,3524594657.0,3624434747.0,0,0
80,6,19,9,2014,3375319127.0,3499387039.0,0,0
81,7,20,9,2014,0.0,0.0,0,0
82,1,21,9,2014,0.0,0.0,0,0
83,2,22,9,2014,4204763457.0,3584223850.0,0,0
84,3,23,9,2014,2213773637.0,2233088486.0,0,0
85,4,24,9,2014,2410614820.0,2883710934.0,0,0
86,5,25,9,2014,2214544781.0,2341449295.0,0,0
87,6,26,9,2014,3607396044.0,3364635279.0,0,0
88,7,27,9,2014,0.0,0.0,0,0
89,1,28,9,2014,0.0,0.0,0,0
90,2,29,9,2014,3458703145.0,2764789308.0,0,0
91,3,30,9,2014,2203593505.0,2372226578.0,0,0
92,4,1,10,2014,2935686734.0,3526286313.0,0,0
93,5,2,10,2014,4064443136.0,4132230306.0,0,0
94,6,3,10,2014,4391561982.0,4754023936.0,0,0
95,7,4,10,2014,0.0,0.0,0,0
96,1,5,10,2014,0.0,0.0,0,0
97,2,6,10,2014,4712194559.0,4216596620.0,0,0
98,3,7,10,2014,3707744897.0,3568339305.0,0,0
99,4,8,10,2014,3645681878.0,3701104610.0,0,0
100,5,9,10,2014,3729276330.0,3379251981.0,0,0
101,6,10,10,2014,4253929679.0,4641073194.0,0,1
102,7,11,10,2014,0.0,0.0,0,0
103,1,12,10,2014,0.0,0.0,0,0
104,2,13,10,2014,0.0,0.0,0,0
105,3,14,10,2014,5117837731.0,4415686710.0,1,0
106,4,15,10,2014,3109169919.0,3615440170.0,0,0
107,5,16,10,2014,4611735933.0,4571005890.0,0,0
108,6,17,10,2014,3972927362.0,4274119202.0,0,0
109,7,18,10,2014,0.0,0.0,0,0
110,1,19,10,2014,0.0,0.0,0,0
111,2,20,10,2014,5557838986.0,5173586847.0,0,0
112,3,21,10,2014,3534886484.0,3349747362.0,0,0
