,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
0,3,1,7,2014,391015731.0,392970491.0,0,0
1,4,2,7,2014,415442779.0,415002399.0,0,0
2,5,3,7,2014,487380039.0,493298004.0,0,0
3,6,4,7,2014,565598484.0,569193669.0,0,0
4,7,5,7,2014,0.0,0.0,0,0
5,1,6,7,2014,0.0,0.0,0,0
6,2,7,7,2014,1008160860.0,998135540.0,0,2
7,3,8,7,2014,0.0,0.0,0,0
8,4,9,7,2014,0.0,0.0,0,0
9,5,10,7,2014,708643663.0,710856473.0,2,0
10,6,11,7,2014,740699606.0,747101116.0,0,0
11,7,12,7,2014,0.0,0.0,0,0
12,1,13,7,2014,0.0,0.0,0,0
13,2,14,7,2014,513602706.0,504763361.0,0,0
14,3,15,7,2014,681484955.0,682876140.0,0,0
15,4,16,7,2014,483191791.0,481613056.0,0,0
16,5,17,7,2014,365188704.0,366727344.0,0,0
17,6,18,7,2014,622231187.0,620374802.0,0,0
18,7,19,7,2014,0.0,0.0,0,0
19,1,20,7,2014,0.0,0.0,0,0
20,2,21,7,2014,613156146.0,606203486.0,0,0
21,3,22,7,2014,508381504.0,510075544.0,0,0
22,4,23,7,2014,384558425.0,384323530.0,0,0
23,5,24,7,2014,274359152.0,280720577.0,0,0
24,6,25,7,2014,441170515.0,443294970.0,0,0
25,7,26,7,2014,0.0,0.0,0,0
26,1,27,7,2014,0.0,0.0,0,0
27,2,28,7,2014,426771882.0,428025027.0,0,0
28,3,29,7,2014,413581537.0,410903527.0,0,0
29,4,30,7,2014,433566037.0,433453757.0,0,0
30,5,31,7,2014,367684760.0,367488880.0,0,0
31,6,1,8,2014,392257170.0,391886015.0,0,0
32,7,2,8,2014,0.0,0.0,0,0
33,1,3,8,2014,0.0,0.0,0,0
34,2,4,8,2014,596094366.0,595172731.0,0,0
35,3,5,8,2014,588532054.0,591190044.0,0,0
36,4,6,8,2014,638856046.0,639202511.0,0,0
37,5,7,8,2014,15000000.0,15000000.0,0,0
38,6,8,8,2014,699399176.0,700153991.0,0,0
39,7,9,8,2014,0.0,0.0,0,0
40,1,10,8,2014,0.0,0.0,0,0
41,2,11,8,2014,584830952.0,582015397.0,0,0
42,3,12,8,2014,531465717.0,532284222.0,0,0
43,4,13,8,2014,386114601.0,386432781.0,0,0
44,5,14,8,2014,410063379.0,408372169.0,0,0
45,6,15,8,2014,462024526.0,471184501.0,0,1
46,7,16,8,2014,0.0,0.0,0,0
47,1,17,8,2014,0.0,0.0,0,0
48,2,18,8,2014,0.0,0.0,0,0
49,3,19,8,2014,529085920.0,527819570.0,1,0
50,4,20,8,2014,378344511.0,379019896.0,0,0
51,5,21,8,2014,259069584.0,257607864.0,0,0
52,6,22,8,2014,458356830.0,466511275.0,0,0
53,7,23,8,2014,0.0,0.0,0,0
54,1,24,8,2014,0.0,0.0,0,0
55,2,25,8,2014,542466863.0,537182618.0,0,0
56,3,26,8,2014,384275256.0,382244031.0,0,0
57,4,27,8,2014,545932184.0,545437274.0,0,1
58,5,28,8,2014,0.0,0.0,0,0
59,6,29,8,2014,704411663.0,704829703.0,1,0
60,7,30,8,2014,0.0,0.0,0,0
61,1,31,8,2014,0.0,0.0,0,0
62,2,1,9,2014,565230665.0,557869395.0,0,0
63,3,2,9,2014,484810956.0,484796121.0,0,0
64,4,3,9,2014,456927498.0,456798183.0,0,0
65,5,4,9,2014,276659512.0,281468687.0,0,0
66,6,5,9,2014,418569283.0,413875323.0,0,0
67,7,6,9,2014,0.0,0.0,0,0
68,1,7,9,2014,0.0,0.0,0,0
69,2,8,9,2014,557602602.0,557796177.0,0,0
70,3,9,9,2014,776701397.0,776461157.0,0,0
71,4,10,9,2014,492111686.0,492140416.0,0,0
72,5,11,9,2014,561705693.0,565079553.0,0,0
73,6,12,9,2014,690182776.0,695223656.0,0,0
74,7,13,9,2014,0.0,0.0,0,0
75,1,14,9,2014,0.0,0.0,0,0
76,2,15,9,2014,748359369.0,750414274.0,0,0
77,3,16,9,2014,463151411.0,459274486.0,0,0
78,4,17,9,2014,385864480.0,386733840.0,0,0
79,5,18,9,2014,374952743.0,374703968.0,0,0
80,6,19,9,2014,764479408.0,768973443.0,0,0
81,7,20,9,2014,0.0,0.0,0,0
82,1,21,9,2014,0.0,0.0,0,0
83,2,22,9,2014,474754202.0,462384477.0,0,0
84,3,23,9,2014,646658442.0,649095767.0,0,0
85,4,24,9,2014,358934662.0,358484102.0,0,0
86,5,25,9,2014,513174531.0,516160006.0,0,0
