,dom,month,year,balance
0,1,7,2014,19052320.14
1,2,7,2014,13498518.48
2,3,7,2014,13346828.63
3,4,7,2014,9384315.38
4,5,7,2014,13820495.6575
5,6,7,2014,13820495.6575
6,7,7,2014,11203044.05
7,8,7,2014,13689941.46
8,9,7,2014,13362494.690000003
9,10,7,2014,18557139.67
10,11,7,2014,16969639.81
11,12,7,2014,14462718.452500002
12,13,7,2014,14462718.452500002
13,14,7,2014,24967462.64
14,15,7,2014,19459145.62
15,16,7,2014,15312408.88
16,17,7,2014,12786591.22
17,18,7,2014,13063232.72
18,19,7,2014,15483891.43846154
19,20,7,2014,15483891.43846154
20,21,7,2014,17257601.28
21,22,7,2014,20489782.25
22,23,7,2014,18907187.98
23,24,7,2014,14659399.85
24,25,7,2014,14115106.95
25,26,7,2014,15928870.389444444
26,27,7,2014,15928870.389444444
27,28,7,2014,17901898.87
28,29,7,2014,16430238.06
29,30,7,2014,21942338.12
30,31,7,2014,18457075.58
31,1,8,2014,15127666.88
32,2,8,2014,16372994.979130434
33,3,8,2014,16372994.979130434
34,4,8,2014,15497658.35
35,5,8,2014,15733845.8
36,6,8,2014,16526446.25
37,7,8,2014,15238769.73
38,8,8,2014,10382693.5
39,9,8,2014,16069939.219642859
40,10,8,2014,16069939.219642859
41,11,8,2014,15987906.96
42,12,8,2014,18128563.48
43,13,8,2014,19120338.54
44,14,8,2014,17110176.42
45,15,8,2014,15572569.68
46,16,8,2014,16238722.825151518
47,17,8,2014,16238722.825151518
48,18,8,2014,16238722.825151518
49,19,8,2014,24656699.27
50,20,8,2014,18678278.65
51,21,8,2014,18357002.2
52,22,8,2014,14505708.69
53,23,8,2014,16542582.217297303
54,24,8,2014,16542582.217297303
55,25,8,2014,27485001.61
56,26,8,2014,19743194.82
57,27,8,2014,18564456.76
58,28,8,2014,18564456.76
59,29,8,2014,18647167.44
60,30,8,2014,17025709.986428577
61,31,8,2014,17025709.986428577
62,1,9,2014,21325944.14
63,2,9,2014,17419664.22
64,3,9,2014,16912393.82
65,4,9,2014,15683012.61
66,5,9,2014,16085851.98
67,6,9,2014,17074610.34468086
68,7,9,2014,17074610.34468086
69,8,9,2014,18003557.42
70,9,9,2014,18629834.03
71,10,9,2014,15502872.07
72,11,9,2014,19120441.55
73,12,9,2014,13601224.02
74,13,9,2014,17064704.140192315
75,14,9,2014,17064704.140192315
76,15,9,2014,17064704.140192315
77,16,9,2014,24962290.86
78,17,9,2014,22335415.13
79,18,9,2014,17756227.23
80,19,9,2014,18738865.11
81,20,9,2014,17342096.67178572
82,21,9,2014,17342096.67178572
83,22,9,2014,26496009.18
84,23,9,2014,24690486.69
85,24,9,2014,21792773.55
86,25,9,2014,17698219.41
87,26,9,2014,26057031.06
88,27,9,2014,17834293.991967216
89,28,9,2014,17834293.991967216
90,29,9,2014,29540905.43
91,30,9,2014,27932581.7
92,1,10,2014,20641397.91
93,2,10,2014,17366935.21
94,3,10,2014,13511759.67
95,4,10,2014,18134628.991363645
96,5,10,2014,18134628.991363645
97,6,10,2014,22114471.06
98,7,10,2014,20902851.98
99,8,10,2014,23265606.66
100,9,10,2014,27642715.15
101,10,10,2014,19529798.0
102,11,10,2014,18455506.42647888
103,12,10,2014,18455506.42647888
104,13,10,2014,18455506.42647888
105,14,10,2014,31527807.21
106,15,10,2014,30820992.7
107,16,10,2014,25739711.13
108,17,10,2014,18595433.73
109,18,10,2014,18893665.347333346
110,19,10,2014,18893665.347333346
111,20,10,2014,28873025.12
112,21,10,2014,27546119.34
113,22,10,2014,26172430.55
114,23,10,2014,22526429.12
115,24,10,2014,16526253.38
116,25,10,2014,19233364.48200001
117,26,10,2014,19233364.48200001
118,27,10,2014,24645717.69
119,28,10,2014,21219887.68
120,29,10,2014,20947660.77
121,30,10,2014,24553823.61
122,31,10,2014,23699182.15
123,1,11,2014,19455710.946588244
124,2,11,2014,19455710.946588244
125,3,11,2014,23055473.73
126,4,11,2014,22226526.93
127,5,11,2014,16753071.14
128,6,11,2014,19497392.071136374
129,7,11,2014,11745389.01
130,8,11,2014,19410290.91314608
131,9,11,2014,19410290.91314608
132,10,11,2014,23030930.03
133,11,11,2014,28598765.29
134,12,11,2014,23232252.11
135,13,11,2014,25186038.61
136,14,11,2014,15011630.82
137,15,11,2014,19601867.107765965
138,16,11,2014,19601867.107765965
139,17,11,2014,27873933.79
140,18,11,2014,23525033.17
141,19,11,2014,25144306.88
142,20,11,2014,24772519.99
143,21,11,2014,16978195.97
144,22,11,2014,19806762.60535354
145,23,11,2014,19806762.60535354
146,24,11,2014,19806762.60535354
147,25,11,2014,28263984.38
148,26,11,2014,25148834.61
149,27,11,2014,23700431.47
150,28,11,2014,19843877.94
151,29,11,2014,19978899.28475729
152,30,11,2014,19978899.28475729
153,1,12,2014,25718206.35
154,2,12,2014,17818505.08
155,3,12,2014,19632850.38
156,4,12,2014,19808024.66
157,5,12,2014,18685361.68
158,6,12,2014,19995273.837777786
159,7,12,2014,19995273.837777786
160,8,12,2014,19995273.837777786
161,9,12,2014,27624862.47
162,10,12,2014,28173237.32
163,11,12,2014,26695877.27
164,12,12,2014,18006382.98
165,13,12,2014,20178481.558214296
166,14,12,2014,20178481.558214296
167,15,12,2014,29046553.2
168,16,12,2014,25225739.94
169,17,12,2014,22894105.43
170,18,12,2014,19575540.73
171,19,12,2014,17413076.01
172,20,12,2014,20291837.178034194
173,21,12,2014,20291837.178034194
174,22,12,2014,24594924.88
175,23,12,2014,26869639.87
176,24,12,2014,30428832.36
177,25,12,2014,20466986.224500008
178,26,12,2014,20466986.224500008
179,27,12,2014,20466986.224500008
180,28,12,2014,20466986.224500008
181,29,12,2014,36089999.64
182,30,12,2014,25238625.87
183,31,12,2014,20634155.51188525
184,1,1,2015,20634155.51188525
185,2,1,2015,11364186.7
186,3,1,2015,20558789.911788624
187,4,1,2015,20558789.911788624
188,5,1,2015,31302218.25
189,6,1,2015,27960930.19
190,7,1,2015,24259188.52
191,8,1,2015,25685523.39
192,9,1,2015,17373276.52
193,10,1,2015,20744627.312656254
194,11,1,2015,20744627.312656254
195,12,1,2015,30000463.37
196,13,1,2015,27082003.91
197,14,1,2015,25218003.52
198,15,1,2015,23807644.54
199,16,1,2015,21561716.71
200,17,1,2015,20924677.654661655
201,18,1,2015,20924677.654661655
