"date","index","mom","yoy"
2014m7,449.72601318359375000,2.115,37.901
2014m8,460.89199829101562000,2.483,39.264
2014m9,471.65499877929687000,2.335,40.274
2014m10,483.26400756835937000,2.461,41.868
2014m11,491.53298950195312000,1.711,40.225
2014m12,499.36700439453125000,1.594,37.581
2015m1,511.03100585937500000,2.336,33.579
2015m2,516.35198974609375000,1.041,27.419
2015m3,527.86499023437500000,2.230,26.564
2015m4,538.36901855468750000,1.990,26.837
2015m5,547.59600830078125000,1.714,26.219
2015m6,559.90399169921875000,2.248,27.132
2015m7,572.32098388671875000,2.218,27.260
2015m8,584.32501220703125000,2.097,26.781
2015m9,594.37597656250000000,1.720,26.019
2015m10,605.29901123046875000,1.838,25.252
2015m11,617.57299804687500000,2.028,25.642
2015m12,638.88397216796875000,3.451,27.939
2016m1,679.16601562500000000,6.305,32.901
2016m2,695.47198486328125000,2.401,34.690
2016m3,715.01300048828125000,2.810,35.454
2016m4,734.60400390625000000,2.740,36.450
2016m5,752.58197021484375000,2.447,37.434
2016m6,764.83697509765625000,1.628,36.601
2016m7,770.59899902343750000,0.753,34.645
2016m8,794.63000488281250000,3.118,35.991
2016m9,807.03302001953125000,1.561,35.778
2016m10,819.43597412109375000,1.537,35.377
2016m11,834.06097412109375000,1.785,35.055
2016m12,845.23901367187500000,1.340,32.299
2017m1,870.12597656250000000,2.944,28.117
2017m2,876.89898681640625000,0.778,26.087
2017m3,892.99700927734375000,1.836,24.892
2017m4,910.70898437500000000,1.983,23.973
2017m5,925.78997802734375000,1.656,23.015
