,net
0,24715547.500000056
1,23726925.600000054
2,23726925.600000054
3,23726925.600000054
4,23726925.600000054
5,24715547.500000056
6,22738303.70000005
7,24715547.500000056
8,24715547.500000056
9,19772438.000000045
10,23726925.600000054
11,23726925.600000054
12,25704169.400000058
13,22738303.70000005
14,24715547.500000056
15,19772438.000000045
16,24715547.500000056
17,23726925.600000054
18,23726925.600000054
19,23726925.600000054
20,28670035.100000065
21,24715547.500000056
22,24715547.500000056
23,23726925.600000054
24,23726925.600000054
25,23726925.600000054
26,28670035.100000065
27,22738303.70000005
28,24715547.500000056
29,23726925.600000054
