,dow,dom,month,prev_holy,pos_holy,minfl
0,3,1,7,0,0,2.115
1,4,2,7,0,0,2.115
2,5,3,7,0,0,2.115
3,6,4,7,0,0,2.115
4,7,5,7,0,0,2.115
5,1,6,7,0,0,2.115
6,2,7,7,0,0,2.115
7,3,8,7,0,1,2.115
8,4,9,7,0,0,2.115
9,5,10,7,1,0,2.115
10,6,11,7,0,0,2.115
11,7,12,7,0,0,2.115
12,1,13,7,0,0,2.115
13,2,14,7,0,0,2.115
14,3,15,7,0,0,2.115
15,4,16,7,0,0,2.115
16,5,17,7,0,0,2.115
17,6,18,7,0,0,2.115
18,7,19,7,0,0,2.115
19,1,20,7,0,0,2.115
20,2,21,7,0,0,2.115
21,3,22,7,0,0,2.115
22,4,23,7,0,0,2.115
23,5,24,7,0,0,2.115
24,6,25,7,0,0,2.115
25,7,26,7,0,0,2.115
26,1,27,7,0,0,2.115
27,2,28,7,0,0,2.115
28,3,29,7,0,0,2.115
29,4,30,7,0,0,2.115
30,5,31,7,0,0,2.115
31,6,1,8,0,0,2.483
32,7,2,8,0,0,2.483
33,1,3,8,0,0,2.483
34,2,4,8,0,0,2.483
35,3,5,8,0,0,2.483
36,4,6,8,0,0,2.483
37,5,7,8,0,0,2.483
38,6,8,8,0,0,2.483
39,7,9,8,0,0,2.483
40,1,10,8,0,0,2.483
41,2,11,8,0,0,2.483
42,3,12,8,0,0,2.483
43,4,13,8,0,0,2.483
44,5,14,8,0,0,2.483
45,6,15,8,0,1,2.483
46,7,16,8,0,0,2.483
47,1,17,8,0,0,2.483
48,2,18,8,0,0,2.483
49,3,19,8,1,0,2.483
50,4,20,8,0,0,2.483
51,5,21,8,0,0,2.483
52,6,22,8,0,0,2.483
53,7,23,8,0,0,2.483
54,1,24,8,0,0,2.483
55,2,25,8,0,0,2.483
56,3,26,8,0,0,2.483
57,4,27,8,0,1,2.483
58,5,28,8,0,0,2.483
59,6,29,8,1,0,2.483
60,7,30,8,0,0,2.483
61,1,31,8,0,0,2.483
62,2,1,9,0,0,2.335
63,3,2,9,0,0,2.335
64,4,3,9,0,0,2.335
65,5,4,9,0,0,2.335
66,6,5,9,0,0,2.335
67,7,6,9,0,0,2.335
68,1,7,9,0,0,2.335
69,2,8,9,0,0,2.335
70,3,9,9,0,0,2.335
71,4,10,9,0,0,2.335
72,5,11,9,0,0,2.335
73,6,12,9,0,0,2.335
74,7,13,9,0,0,2.335
75,1,14,9,0,0,2.335
76,2,15,9,0,0,2.335
77,3,16,9,0,0,2.335
78,4,17,9,0,0,2.335
79,5,18,9,0,0,2.335
80,6,19,9,0,0,2.335
81,7,20,9,0,0,2.335
82,1,21,9,0,0,2.335
83,2,22,9,0,0,2.335
