,in,out
0,538946989.0,537842734.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,408204999.0,408598699.0
6,440176340.0,440339090.0
7,341775460.0,339776010.0
8,332009309.0,334331309.0
9,382651199.0,384099699.0
10,0.0,0.0
11,0.0,0.0
12,390397720.0,385644670.0
13,310221102.0,312203102.0
14,380540499.0,378590549.0
15,362330477.0,364375127.0
16,420935416.0,422799366.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,310632926.0,308437551.0
21,962758864.0,961036214.0
22,644214830.0,644576540.0
23,653150200.0,653130200.0
24,0.0,0.0
25,0.0,0.0
26,613070532.0,613828582.0
27,467898029.0,467567319.0
28,620263246.0,622863421.0
29,459129427.0,457395792.0
